medicine_id,name,category,manufacturer,batch_number,purchase_date,expiry_date,quantity,purchase_price,selling_price,vendor_name,min_stock_threshold,total_sold,last_sold_date,status
1,Cetirizine,Injection,Cipla,B1948,2025-05-01,2026-04-18,146,12.74,15.34,PharmaDepot,16,17,2025-05-12,Active
2,Aspirin,Injection,Sun Pharma,B6158,2024-09-19,2026-01-24,53,33.31,41.99,WellnessCorp,27,22,2024-12-11,Active
3,Ibuprofen 200mg,Syrup,Cipla,B7749,2024-11-25,2026-07-29,112,17.89,24.39,MediLink,30,58,2025-05-12,Active
4,Loratadine,Tablet,Sun Pharma,B4974,2025-02-02,2027-01-04,32,13.26,15.26,MediLink,15,3,2025-02-23,Active
5,Vitamin D3,Syrup,Zydus,B1405,2024-08-11,2025-04-14,84,35.7,51.18,HealthHub,28,42,2024-10-25,Expired
6,Cetirizine,Tablet,Cipla,B4218,2025-03-09,2026-12-03,1,31.43,35.05,HealthHub,14,0,,Active
7,Cough Syrup,Injection,Sun Pharma,B3253,2024-10-02,2025-08-18,17,13.09,18.97,WellnessCorp,10,6,2024-11-19,Near Expiry
8,Antacid Gel,Injection,Dr. Reddy,B2185,2025-03-22,2026-06-28,36,25.78,34.8,HealthHub,22,34,2025-06-10,Active
9,Cough Syrup,Tablet,Cipla,B3427,2025-02-23,2026-06-01,56,46.79,67.63,MediLink,19,53,2025-07-02,Active
10,Multivitamin,Capsule,Zydus,B2000,2025-04-06,2026-05-09,171,40.33,58.48,MediLink,23,37,2025-05-14,Active
11,Ibuprofen 200mg,Injection,Cipla,B2336,2025-05-10,2025-09-27,129,43.23,55.15,HealthHub,20,79,2025-06-25,Active
12,Ibuprofen 200mg,Tablet,Lupin,B6816,2025-03-04,2025-11-27,6,6.69,8.28,HealthHub,28,0,,Active
13,Cough Syrup,Syrup,Zydus,B3640,2025-04-18,2027-03-28,72,38.12,48.05,PharmaDepot,24,11,2025-06-08,Active
14,Paracetamol 500mg,Syrup,Lupin,B7313,2024-12-28,2025-06-21,140,8.14,10.49,PharmaDepot,11,61,2025-03-23,Expired
15,Cetirizine,Syrup,Sun Pharma,B7681,2024-07-15,2025-12-01,55,41.86,58.53,MediLink,24,16,2024-12-22,Active
16,Cough Syrup,Tablet,Lupin,B7199,2025-03-16,2025-08-06,140,19.02,24.09,HealthHub,19,133,2025-03-23,Near Expiry
17,Cough Syrup,Injection,Sun Pharma,B2515,2025-05-31,2026-04-25,110,36.01,52.54,WellnessCorp,30,22,2025-07-05,Active
18,Ibuprofen 200mg,Injection,Lupin,B1787,2025-05-28,2025-10-31,64,11.17,13.77,PharmaDepot,15,47,2025-07-04,Active
19,Multivitamin,Capsule,Lupin,B4710,2024-12-11,2025-11-27,22,19.79,27.16,HealthHub,29,10,2025-04-18,Active
20,Vitamin D3,Injection,Cipla,B4349,2024-11-08,2026-05-01,139,28.89,31.96,WellnessCorp,16,50,2025-05-29,Active
21,Ibuprofen 200mg,Injection,Dr. Reddy,B5211,2024-08-10,2026-03-21,67,15.02,21.82,WellnessCorp,15,58,2024-10-30,Active
22,Loratadine,Tablet,Zydus,B6812,2025-05-24,2026-12-24,75,16.6,21.21,WellnessCorp,16,10,2025-06-20,Active
23,Multivitamin,Tablet,Cipla,B8850,2024-10-03,2025-05-09,49,48.4,56.28,WellnessCorp,25,27,2025-04-13,Expired
